2022-11-11 18:52:54,116 INFO    Thread-1239:49598 [wandb_setup.py:_flush():68] Configure stats pid to 49598
2022-11-11 18:52:54,117 INFO    Thread-1239:49598 [wandb_setup.py:_flush():68] Loading settings from /home/mmendieta/.config/wandb/settings
2022-11-11 18:52:54,117 INFO    Thread-1239:49598 [wandb_setup.py:_flush():68] Loading settings from /home/mmendieta/violence_prediction/Scripts/wandb/settings
2022-11-11 18:52:54,117 INFO    Thread-1239:49598 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'rf_param_opt', 'entity': 'npsdaor', 'root_dir': '/home/mmendieta/violence_prediction/Scripts', 'run_id': 'jnf74ec9', 'sweep_param_path': '/home/mmendieta/violence_prediction/Scripts/wandb/sweep-bq3rjgrq/config-jnf74ec9.yaml', 'sweep_id': 'bq3rjgrq'}
2022-11-11 18:52:54,117 INFO    Thread-1239:49598 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-11 18:52:54,117 INFO    Thread-1239:49598 [wandb_init.py:_log_setup():476] Logging user logs to /home/mmendieta/violence_prediction/Scripts/wandb/run-20221111_185254-jnf74ec9/logs/debug.log
2022-11-11 18:52:54,117 INFO    Thread-1239:49598 [wandb_init.py:_log_setup():477] Logging internal logs to /home/mmendieta/violence_prediction/Scripts/wandb/run-20221111_185254-jnf74ec9/logs/debug-internal.log
2022-11-11 18:52:54,117 INFO    Thread-1239:49598 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7efba45bdd00>
2022-11-11 18:52:54,118 INFO    Thread-1239:49598 [wandb_init.py:init():516] calling init triggers
2022-11-11 18:52:54,118 INFO    Thread-1239:49598 [wandb_init.py:init():519] wandb.init called with sweep_config: {'criterion': 'entropy', 'min_samples_leaf': 10, 'min_samples_split': 1000, 'n_estimators': 50}
config: {}
2022-11-11 18:52:54,118 INFO    Thread-1239:49598 [wandb_init.py:init():569] starting backend
2022-11-11 18:52:54,118 INFO    Thread-1239:49598 [wandb_init.py:init():573] setting up manager
2022-11-11 18:52:54,125 INFO    Thread-1239:49598 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-11 18:52:54,129 INFO    Thread-1239:49598 [wandb_init.py:init():580] backend started and connected
2022-11-11 18:52:54,148 INFO    Thread-1239:49598 [wandb_run.py:_config_callback():1160] config_cb None None {'criterion': 'entropy', 'min_samples_leaf': 10, 'min_samples_split': 1000, 'n_estimators': 50}
2022-11-11 18:52:54,152 INFO    Thread-1239:49598 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-11 18:52:54,152 INFO    Thread-1239:49598 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-11 18:52:54,152 INFO    Thread-1239:49598 [wandb_init.py:init():658] updated telemetry
2022-11-11 18:52:54,180 INFO    Thread-1239:49598 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-11 18:52:54,575 INFO    Thread-1239:49598 [wandb_run.py:_on_init():2000] communicating current version
2022-11-11 18:52:54,665 INFO    Thread-1239:49598 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-11-11 18:52:54,665 INFO    Thread-1239:49598 [wandb_init.py:init():728] starting run threads in backend
2022-11-11 18:52:54,810 INFO    Thread-1239:49598 [wandb_run.py:_console_start():1980] atexit reg
2022-11-11 18:52:54,810 INFO    Thread-1239:49598 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-11 18:52:54,811 INFO    Thread-1239:49598 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-11 18:52:54,811 INFO    Thread-1239:49598 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-11 18:52:54,811 INFO    Thread-1239:49598 [wandb_init.py:init():765] run started, returning control to user process
2022-11-11 18:52:55,169 INFO    Thread-1239:49598 [wandb_run.py:_finish():1746] finishing run npsdaor/rf_param_opt/jnf74ec9
2022-11-11 18:52:55,169 INFO    Thread-1239:49598 [jupyter.py:save_history():448] not saving jupyter history
2022-11-11 18:52:55,169 INFO    Thread-1239:49598 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2022-11-11 18:52:55,169 INFO    Thread-1239:49598 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2022-11-11 18:52:55,169 INFO    Thread-1239:49598 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-11 18:52:55,169 INFO    Thread-1239:49598 [wandb_run.py:_restore():1932] restore
2022-11-11 18:52:55,169 INFO    Thread-1239:49598 [wandb_run.py:_restore():1938] restore done
2022-11-11 18:52:59,562 INFO    Thread-1239:49598 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-11 18:52:59,562 INFO    Thread-1239:49598 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-11 18:52:59,570 INFO    Thread-1239:49598 [wandb_run.py:_footer_sync_info():3333] logging synced files
