2025-07-23 19:43:33,845 INFO    MainThread:17584 [wandb_setup.py:_flush():68] Configure stats pid to 17584
2025-07-23 19:43:33,846 INFO    MainThread:17584 [wandb_setup.py:_flush():68] Loading settings from /home/mmendieta/.config/wandb/settings
2025-07-23 19:43:33,846 INFO    MainThread:17584 [wandb_setup.py:_flush():68] Loading settings from /home/mmendieta/violence_prediction/Scripts/wandb/settings
2025-07-23 19:43:33,846 INFO    MainThread:17584 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2025-07-23 19:43:33,846 INFO    MainThread:17584 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'Scripts/fine_tune_mllm_script_all_labels_accelerate.py', 'program': 'fine_tune_mllm_script_all_labels_accelerate.py'}
2025-07-23 19:43:33,847 INFO    MainThread:17584 [wandb_init.py:_log_setup():476] Logging user logs to /home/mmendieta/violence_prediction/Scripts/wandb/run-20250723_194333-1abxfi47/logs/debug.log
2025-07-23 19:43:33,847 INFO    MainThread:17584 [wandb_init.py:_log_setup():477] Logging internal logs to /home/mmendieta/violence_prediction/Scripts/wandb/run-20250723_194333-1abxfi47/logs/debug-internal.log
2025-07-23 19:43:33,847 INFO    MainThread:17584 [wandb_init.py:init():516] calling init triggers
2025-07-23 19:43:33,847 INFO    MainThread:17584 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2025-07-23 19:43:33,847 INFO    MainThread:17584 [wandb_init.py:init():569] starting backend
2025-07-23 19:43:33,847 INFO    MainThread:17584 [wandb_init.py:init():573] setting up manager
2025-07-23 19:43:33,856 INFO    MainThread:17584 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-07-23 19:43:33,861 INFO    MainThread:17584 [wandb_init.py:init():580] backend started and connected
2025-07-23 19:43:33,867 INFO    MainThread:17584 [wandb_init.py:init():658] updated telemetry
2025-07-23 19:43:33,898 INFO    MainThread:17584 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
