2025-08-04 21:42:33,692 INFO    Thread-19 :51634 [wandb_setup.py:_flush():68] Configure stats pid to 51634
2025-08-04 21:42:33,693 INFO    Thread-19 :51634 [wandb_setup.py:_flush():68] Loading settings from /home/mmendieta/.config/wandb/settings
2025-08-04 21:42:33,693 INFO    Thread-19 :51634 [wandb_setup.py:_flush():68] Loading settings from /home/mmendieta/violence_prediction/Scripts/wandb/settings
2025-08-04 21:42:33,693 INFO    Thread-19 :51634 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'rf_grid_search', 'entity': 'npsdaor', 'root_dir': '/home/mmendieta/violence_prediction/Scripts', 'run_id': '6ce3f7ku', 'sweep_param_path': '/home/mmendieta/violence_prediction/Scripts/wandb/sweep-qhyfph9z/config-6ce3f7ku.yaml', 'sweep_id': 'qhyfph9z'}
2025-08-04 21:42:33,693 INFO    Thread-19 :51634 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2025-08-04 21:42:33,693 INFO    Thread-19 :51634 [wandb_init.py:_log_setup():476] Logging user logs to /home/mmendieta/violence_prediction/Scripts/wandb/run-20250804_214233-6ce3f7ku/logs/debug.log
2025-08-04 21:42:33,693 INFO    Thread-19 :51634 [wandb_init.py:_log_setup():477] Logging internal logs to /home/mmendieta/violence_prediction/Scripts/wandb/run-20250804_214233-6ce3f7ku/logs/debug-internal.log
2025-08-04 21:42:33,693 INFO    Thread-19 :51634 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f364ba7b310>
2025-08-04 21:42:33,693 INFO    Thread-19 :51634 [wandb_init.py:init():516] calling init triggers
2025-08-04 21:42:33,694 INFO    Thread-19 :51634 [wandb_init.py:init():519] wandb.init called with sweep_config: {'criterion': 'gini', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}
config: {}
2025-08-04 21:42:33,694 INFO    Thread-19 :51634 [wandb_init.py:init():569] starting backend
2025-08-04 21:42:33,694 INFO    Thread-19 :51634 [wandb_init.py:init():573] setting up manager
2025-08-04 21:42:33,700 INFO    Thread-19 :51634 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-08-04 21:42:33,704 INFO    Thread-19 :51634 [wandb_init.py:init():580] backend started and connected
2025-08-04 21:42:33,723 INFO    Thread-19 :51634 [wandb_run.py:_config_callback():1160] config_cb None None {'criterion': 'gini', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}
2025-08-04 21:42:33,726 INFO    Thread-19 :51634 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2025-08-04 21:42:33,726 INFO    Thread-19 :51634 [wandb_init.py:init():658] updated telemetry
2025-08-04 21:42:33,762 INFO    Thread-19 :51634 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2025-08-04 21:42:34,133 INFO    Thread-19 :51634 [wandb_run.py:_on_init():2000] communicating current version
2025-08-04 21:42:34,189 INFO    Thread-19 :51634 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.21.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-08-04 21:42:34,189 INFO    Thread-19 :51634 [wandb_init.py:init():728] starting run threads in backend
2025-08-04 21:42:34,329 INFO    Thread-19 :51634 [wandb_run.py:_console_start():1980] atexit reg
2025-08-04 21:42:34,329 INFO    Thread-19 :51634 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2025-08-04 21:42:34,329 INFO    Thread-19 :51634 [wandb_run.py:_redirect():1903] Wrapping output streams.
2025-08-04 21:42:34,330 INFO    Thread-19 :51634 [wandb_run.py:_redirect():1925] Redirects installed.
2025-08-04 21:42:34,330 INFO    Thread-19 :51634 [wandb_init.py:init():765] run started, returning control to user process
2025-08-04 21:42:34,331 INFO    Thread-19 :51634 [wandb_run.py:_finish():1746] finishing run npsdaor/rf_grid_search/6ce3f7ku
2025-08-04 21:42:34,331 INFO    Thread-19 :51634 [jupyter.py:save_history():448] not saving jupyter history
2025-08-04 21:42:34,331 INFO    Thread-19 :51634 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2025-08-04 21:42:34,331 INFO    Thread-19 :51634 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2025-08-04 21:42:34,331 INFO    Thread-19 :51634 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 1
2025-08-04 21:42:34,331 INFO    Thread-19 :51634 [wandb_run.py:_restore():1932] restore
2025-08-04 21:42:34,331 INFO    Thread-19 :51634 [wandb_run.py:_restore():1938] restore done
2025-08-04 21:42:38,055 INFO    Thread-19 :51634 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2025-08-04 21:42:38,056 INFO    Thread-19 :51634 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2025-08-04 21:42:38,060 INFO    Thread-19 :51634 [wandb_run.py:_footer_sync_info():3333] logging synced files
